Computer aided architectural design: Wayfinding complexity analysis	2008	Computer Supported Cooperative Work in Design, 2008. CSCWD 2008. 12th International Conference on 	"Bojduj, B. ; Weber, B. ; Richter, K.-F. ; Bertel, S. "			
Inktuitive: An intuitive physical design workspace	2008	Intelligent Environments, 2008 IET 4th International Conference on	"Mistry, P. ; Sekiya, K. ; Bradshaw, A. "			
Computer aided architectural design: Wayfinding complexity analysis	2008	Computer Supported Cooperative Work in Design, 2008. 	"Bojduj, B. ; Weber, B. ; Richter, K.-F. ; Bertel, S. "			
Technology in Computer Aided Architectural Design	2009	Information and Computing Science, 2009. ICIC '09. Second International Conference on 	Huang Lingjiang 			
Technology in Computer Aided Architectural Design	2009	Information and Computing Science, 2009. ICIC '09. Second International Conference on 	Huang Lingjiang 			
Technology in Computer Aided Architectural Design	2009	Information and Computing Science, 2009. ICIC '09. Second International Conference on 	Huang Lingjiang 			
Fractal geometry and architectural design	2009	IT in Medicine & Education, 2009. ITIME '09. IEEE International Symposium on 	"Wang Wen ; Liu Hong ; Wang Xia "			
Technology in Computer Aided Architectural Design	2009	Information and Computing Science, 2009. ICIC '09. Second International Conference on 	Huang Lingjiang 			
Use of building information models in simulations	2009	Simulation Conference (WSC), Proceedings of the 2009 Winter 	"Issa, R.R.A. ; Suermann, P.C. ; Olbina, S. "			
Plausibility in early stages of architectural design: A new tool for high-rise residential buildings	2009	Tsinghua Science and Technology , 	"Donath, Dirk ; Lobos, Danny "			
Analysis on the application of sketchup software inarchitectural design teaching	2010	Information Science and Engineering (ICISE), 2010 2nd International Conference on 	"Tang, Hong ; Jiao, Lei "			
The application of CAAD technology in regional architectural renewal	2010	Educational and Information Technology (ICEIT), 2010 International Conference on 	"Luo Jing ; Guo Weimin ; Zhou Lin "			
The application of CAAD technology in regional architectural renewal	2010	Educational and Information Technology (ICEIT), 2010 	"Luo Jing ; Guo Weimin ; Zhou Lin "			
Constraint Soup	2010	Natural Language Processing and Knowledge Engineering (NLP-KE), 2010 International Conference on 	"Niemeijer, R. ; de Vries, B. ; Beetz, J. "			
Fast 3D Modeling Chinese Ancient ArchitecturesBase on Points Cloud	2010	Computational Intelligence and Software Engineering (CiSE), 2010 International Conference on 	"Cai Lailiang ; Wu Kan ; Fang Qian ; Zheng Ruyu "			
Three-dimensional urban geological modeling and its applications	2010	Geoinformatics, 2010 18th International Conference on	"Honggang Qu ; JingChao Li ; Mao Pan "			
BIM's Content and Its Application in Contemporary Architectural Design	2010	Management and Service Science (MASS), 2010 International Conference on 	"Cheng Bin ; Wang Yu "			
A knowledge base for energy-efficient smart homes	2010	Energy Conference and Exhibition (EnergyCon), 2010 IEEE International 	"Kofler, M.J. ; Kastner, W. "			
Parametric Design Based on Building Information Modeling for Sustainable Buildings	2010	Challenges in Environmental Science and Computer Engineering (CESCE), 2010 International Conference on 	"Wang, Jialiang ; Li, Jing ; Chen, Xi "			
